,Ask,Bid,Expiry,Last,Open_Int,Quote_Time,Root,Strike,Symbol,Type,Underlying_Price,Update_Date,Update_Time,Vol,_id,iteration,Alert Level,Fifty Percent,Buy Price,Sell Price,Return Percent,Profit
11,1.25,1.05,2017-12-15,1.5,377.0,2017-11-02T10:10:04.000Z,AAOI,30.0,AAOI171215P00030000,p,41.45,20171102,17:12:16,60.0,AAOI_20171215_20171102_7_p_30.0,7.0,0.06363869643315381,True,1.25,0.35,-0.72,84.0
1,1.3,1.05,2017-08-18,1.15,361.0,2017-07-07T10:11:14.000Z,ACIA,35.0,ACIA170818P00035000,p,41.81,20170707,20:28:18,3.0,ACIA_20170818_20170707_7_p_35.0,7.0,0.0303104977821588,True,1.3,0.05,-0.9615384615384615,119.0
5,1.25,0.8,2017-07-21,0.9,138.0,2017-06-09T10:11:20.000Z,ACOR,16.0,ACOR170721P00016000,p,16.7,20170609,20:45:54,5.0,ACOR_20170721_20170609_7_p_16.0,7.0,0.0308641975308642,True,1.25,0.05,-0.96,114.0
2,1.05,0.8,2017-08-18,1.0,650.0,2017-07-19T10:11:14.000Z,ACIA,35.0,ACIA170818P00035000,p,42.43,20170719,20:28:20,7.0,ACIA_20170818_20170719_7_p_35.0,7.0,0.0711941428932088,True,1.05,0.05,-0.9523809523809523,94.0
3,1.3,0.95,2017-11-17,1.17,1340.0,2017-09-25T10:10:12.000Z,ACIA,35.0,ACIA171117P00035000,p,44.78,20170925,20:31:55,3.0,ACIA_20171117_20170925_7_p_35.0,7.0,-0.043366801965392034,True,1.3,0.7,-0.46153846153846156,54.00000000000001
0,1.25,1.0,2017-11-17,1.1,68.0,2017-10-03T10:10:05.000Z,ACRX,5.0,ACRX171117P00005000,p,5.3,20171003,20:49:13,32.0,ACRX_20171117_20171003_7_p_5.0,7.0,-0.0363636363636364,False,1.25,3.0,1.4,-181.0
0,1.25,1.0,2017-11-17,1.05,124.0,2017-10-10T10:10:07.000Z,ACRX,5.0,ACRX171117P00005000,p,5.5,20171010,20:49:13,9.0,ACRX_20171117_20171010_7_p_5.0,7.0,0.057692307692307654,False,1.25,3.0,1.4,-181.0
3,0.99,0.89,2017-11-17,0.94,4207.0,2017-09-20T10:10:12.000Z,ADBE,135.0,ADBE171117P00135000,p,150.31,20170920,21:10:34,64.0,ADBE_20171117_20170920_7_p_135.0,7.0,-0.04016602809706253,True,0.99,0.01,-0.98989898989899,92.0
20,1.26,1.18,2017-12-15,1.27,841.0,2017-10-19T10:10:08.000Z,ADBE,150.0,ADBE171215P00150000,p,168.44,20171019,21:01:51,117.0,ADBE_20171215_20171019_7_p_150.0,7.0,0.10091503267973854,True,1.26,0.37,-0.7063492063492064,83.0
15,1.18,1.04,2017-06-16,1.07,579.0,2017-05-02T10:16:04.000Z,ADM,42.0,ADM170616P00042000,p,42.24,20170502,21:29:18,80.0,ADM_20170616_20170502_7_p_42.0,7.0,-0.0763175158539251,True,1.18,0.02,-0.983050847457627,109.99999999999999
4,1.2,0.95,2017-07-21,1.0,166.0,2017-05-31T10:11:21.000Z,ADI,82.5,ADI170721P00082500,p,87.61,20170531,21:20:18,250.0,ADI_20170721_20170531_7_p_82.5,7.0,0.033136792452830216,False,1.2,1.6,0.3333333333333335,-46.000000000000014
0,1.25,1.0,2017-11-17,1.25,11.0,2017-10-13T10:10:08.000Z,ADS,200.0,ADS171117P00200000,p,232.3,20171013,22:09:27,3.0,ADS_20171117_20171013_7_p_200.0,7.0,0.055237576087944155,True,1.25,0.05,-0.96,114.0
1,1.2,0.8,2017-05-19,0.91,66.0,2017-04-27T10:16:07.000Z,AEIS,70.0,AEIS170519P00070000,p,75.01,20170427,22:16:48,4.0,AEIS_20170519_20170427_7_p_70.0,7.0,0.03462068965517248,True,1.2,0.05,-0.9583333333333333,108.99999999999999
19,1.05,0.98,2017-05-19,0.78,1553.0,2017-04-25T10:16:09.000Z,AEM,42.0,AEM170519P00042000,p,43.67,20170425,22:23:00,16.0,AEM_20170519_20170425_7_p_42.0,7.0,-0.04358300481822153,True,1.05,0.03,-0.9714285714285714,96.0
1,1.01,0.91,2017-05-19,0.9,881.0,2017-04-28T10:16:09.000Z,AEM,46.0,AEM170519P00046000,p,47.83,20170428,22:22:59,125.0,AEM_20170519_20170428_7_p_46.0,7.0,0.10004599816007363,True,1.01,0.01,-0.9900990099009901,94.0
0,1.05,0.85,2017-05-19,0.75,65.0,2017-04-06T10:16:08.000Z,AER,42.5,AER170519P00042500,p,44.07,20170406,22:36:42,3.0,AER_20170519_20170406_7_p_42.5,7.0,-0.030576330840299176,True,1.05,0.05,-0.9523809523809523,94.0
6,0.9,0.8,2017-09-29,0.85,2979.0,2017-08-10T10:11:26.000Z,AEO,11.0,AEO170929P00011000,p,11.38,20170810,22:28:31,204.0,AEO_20170929_20170810_7_p_11.0,7.0,-0.05481727574750817,True,0.9,0.05,-0.9444444444444444,79.0
